Date,Close/Last
08/29/2025,21455.55
08/28/2025,21705.16
08/27/2025,21590.14
08/26/2025,21544.27
08/25/2025,21449.29
08/22/2025,21496.53
08/21/2025,21100.31
08/20/2025,21172.86
08/19/2025,21314.95
08/18/2025,21629.77
08/15/2025,21622.98
08/14/2025,21710.67
08/13/2025,21713.14
08/12/2025,21681.9
08/11/2025,21385.4
08/08/2025,21450.02
08/07/2025,21242.7
08/06/2025,21169.42
08/05/2025,20916.55
08/04/2025,21053.58
08/01/2025,20650.13
07/31/2025,21122.45
07/30/2025,21129.67
07/29/2025,21098.29
07/28/2025,21178.58
07/25/2025,21108.32
07/24/2025,21057.96
07/23/2025,21020.02
07/22/2025,20892.68
07/21/2025,20974.17
07/18/2025,20895.66
07/17/2025,20885.65
07/16/2025,20730.49
07/15/2025,20677.8
07/14/2025,20640.33
07/11/2025,20585.53
07/10/2025,20630.66
07/09/2025,20611.34
07/08/2025,20418.46
07/07/2025,20412.52
07/03/2025,20601.1
07/02/2025,20393.13
07/01/2025,20202.89
06/30/2025,20369.73
06/27/2025,20273.46
06/26/2025,20167.91
06/25/2025,19973.55
06/24/2025,19912.53
06/23/2025,19630.97
06/20/2025,19447.41
06/18/2025,19546.27
06/17/2025,19521.09
06/16/2025,19701.21
06/13/2025,19406.83
06/12/2025,19662.48
06/11/2025,19615.88
06/10/2025,19714.99
06/09/2025,19591.24
06/06/2025,19529.95
06/05/2025,19298.45
06/04/2025,19460.49
06/03/2025,19398.96
06/02/2025,19242.61
05/30/2025,19113.77
05/29/2025,19175.87
05/28/2025,19100.94
05/27/2025,19199.16
05/23/2025,18737.21
05/22/2025,18925.73
05/21/2025,18872.64
05/20/2025,19142.71
05/19/2025,19215.46
05/16/2025,19211.1
05/15/2025,19112.32
05/14/2025,19146.81
05/13/2025,19010.08
05/12/2025,18708.34
05/09/2025,17928.92
05/08/2025,17928.14
05/07/2025,17738.16
05/06/2025,17689.66
05/05/2025,17844.24
05/02/2025,17977.73
05/01/2025,17710.74
04/30/2025,17446.34
04/29/2025,17461.32
04/28/2025,17366.13
04/25/2025,17382.94
04/24/2025,17166.04
04/23/2025,16708.05
04/22/2025,16300.42
04/21/2025,15870.9
04/17/2025,16286.45
04/16/2025,16307.16
04/15/2025,16823.17
04/14/2025,16831.48
04/11/2025,16724.46
04/10/2025,16387.31
04/09/2025,17124.97
04/08/2025,15267.91
04/07/2025,15603.26
04/04/2025,15587.79
04/03/2025,16550.61
04/02/2025,17601.05
04/01/2025,17449.89
03/31/2025,17299.29
03/28/2025,17322.99
03/27/2025,17804.03
03/26/2025,17899.01
03/25/2025,18271.86
03/24/2025,18188.59
03/21/2025,17784.05
03/20/2025,17691.63
03/19/2025,17750.79
03/18/2025,17504.12
03/17/2025,17808.66
03/14/2025,17754.09
03/13/2025,17303.01
03/12/2025,17648.45
03/11/2025,17436.1
03/10/2025,17468.32
03/07/2025,18196.22
03/06/2025,18069.26
03/05/2025,18552.73
03/04/2025,18285.16
03/03/2025,18350.19
02/28/2025,18847.28
02/27/2025,18544.42
02/26/2025,19075.26
02/25/2025,19026.39
02/24/2025,19286.92
02/21/2025,19524.01
02/20/2025,19962.36
02/19/2025,20056.25
02/18/2025,20041.26
02/14/2025,20026.77
02/13/2025,19945.64
02/12/2025,19649.95
02/11/2025,19643.86
02/10/2025,19714.27
02/07/2025,19523.4
02/06/2025,19791.99
02/05/2025,19692.33
02/04/2025,19654.01
02/03/2025,19391.96
01/31/2025,19627.44
01/30/2025,19681.75
01/29/2025,19632.32
01/28/2025,19733.59
01/27/2025,19341.83
01/24/2025,19954.3
01/23/2025,20053.68
01/22/2025,20009.34
01/21/2025,19756.78
01/17/2025,19630.2
01/16/2025,19338.29
01/15/2025,19511.23
01/14/2025,19044.39
01/13/2025,19088.1
01/10/2025,19161.63
01/08/2025,19478.88
01/07/2025,19489.68
01/06/2025,19864.98
01/03/2025,19621.68
01/02/2025,19280.79
12/31/2024,19310.79
12/30/2024,19486.78
12/27/2024,19722.03
12/26/2024,20020.36
12/24/2024,20031.13
12/23/2024,19764.89
12/20/2024,19572.6
12/19/2024,19372.77
12/18/2024,19392.69
12/17/2024,20109.06
12/16/2024,20173.89
12/13/2024,19926.72
12/12/2024,19902.84
12/11/2024,20034.89
12/10/2024,19687.24
12/09/2024,19736.69
12/06/2024,19859.77
12/05/2024,19700.72
12/04/2024,19735.12
12/03/2024,19480.91
12/02/2024,19403.95
11/29/2024,19218.17
11/27/2024,19060.48
11/26/2024,19175.58
11/25/2024,19054.83
11/22/2024,19003.65
11/21/2024,18972.42
11/20/2024,18966.14
11/19/2024,18987.47
11/18/2024,18791.81
11/15/2024,18680.12
11/14/2024,19107.65
11/13/2024,19230.73
11/12/2024,19281.4
11/11/2024,19298.76
11/08/2024,19286.78
11/07/2024,19269.46
11/06/2024,18983.47
11/05/2024,18439.17
11/04/2024,18179.98
11/01/2024,18239.92
10/31/2024,18095.15
10/30/2024,18607.93
10/29/2024,18712.75
10/28/2024,18567.19
10/25/2024,18518.61
10/24/2024,18415.49
10/23/2024,18276.65
10/22/2024,18573.13
10/21/2024,18540
10/18/2024,18489.55
10/17/2024,18373.61
10/16/2024,18367.08
10/15/2024,18315.59
10/14/2024,18502.69
10/11/2024,18342.94
10/10/2024,18282.05
10/09/2024,18291.62
10/08/2024,18182.92
10/07/2024,17923.9
10/04/2024,18137.85
10/03/2024,17918.48
10/02/2024,17925.12
10/01/2024,17910.36
